dataset,field,match,total,agreement
piloto_50,year,42,50,0.84
piloto_50,venue_type,40,50,0.8
piloto_50,domain_class,50,50,1.0
piloto_50,task_class,49,50,0.98
piloto_50,target_class,42,50,0.84
piloto_50,dataset_family,44,50,0.88
piloto_50,has_public_code,45,50,0.9
piloto_50,has_public_dataset,44,50,0.88
piloto_50,horizon_type,50,50,1.0
piloto_50,horizon_min_value,50,50,1.0
piloto_50,horizon_max_value,50,50,1.0
piloto_50,horizon_unit,50,50,1.0
piloto_50,frequency_value,46,50,0.92
piloto_50,frequency_unit,43,50,0.86
piloto_50,graph_node_count_min,43,50,0.86
piloto_50,graph_node_count_max,44,50,0.88
piloto_50,node_unit,48,50,0.96
piloto_50,graph_node_count_status,44,50,0.88
piloto_50,coding_status,50,50,1.0
piloto_50,confidence,50,50,1.0
holdout_20,year,19,20,0.95
holdout_20,venue_type,17,20,0.85
holdout_20,domain_class,18,20,0.9
holdout_20,task_class,17,20,0.85
holdout_20,target_class,18,20,0.9
holdout_20,dataset_family,12,20,0.6
holdout_20,has_public_code,19,20,0.95
holdout_20,has_public_dataset,17,20,0.85
holdout_20,horizon_type,20,20,1.0
holdout_20,horizon_min_value,20,20,1.0
holdout_20,horizon_max_value,20,20,1.0
holdout_20,horizon_unit,20,20,1.0
holdout_20,frequency_value,15,20,0.75
holdout_20,frequency_unit,15,20,0.75
holdout_20,graph_node_count_min,15,20,0.75
holdout_20,graph_node_count_max,18,20,0.9
holdout_20,node_unit,18,20,0.9
holdout_20,graph_node_count_status,17,20,0.85
holdout_20,coding_status,20,20,1.0
holdout_20,confidence,20,20,1.0
