workflow_a,workflow_b,excluded_fields,accuracy_a,accuracy_b,delta_b_minus_a,ci95_low,ci95_high,bootstrap_p_two_sided,papers,iterations
metadata_prior_baseline,w0_direct_50,none,0.409,0.462,0.053,-0.010,0.118,0.1112,50,5000
metadata_prior_baseline,w0_direct_50,coding_status|confidence,0.412,0.451,0.039,-0.020,0.099,0.2236,50,5000
w0_direct_50,w1_metadata_sections,none,0.462,0.561,0.099,0.046,0.156,0.0000,50,5000
w0_direct_50,w1_metadata_sections,coding_status|confidence,0.451,0.553,0.102,0.044,0.163,0.0000,50,5000
w0_direct_50,w2_schema_normalized_50,none,0.462,0.574,0.112,0.059,0.168,0.0000,50,5000
w0_direct_50,w2_schema_normalized_50,coding_status|confidence,0.451,0.568,0.117,0.060,0.178,0.0000,50,5000
w2_schema_normalized_50,w3_field_groups_50,none,0.574,0.602,0.028,-0.011,0.064,0.1488,50,5000
w2_schema_normalized_50,w3_field_groups_50,coding_status|confidence,0.568,0.610,0.042,0.003,0.078,0.0352,50,5000
w3_field_groups_50,w4_hybrid_w2_w3_50,none,0.602,0.637,0.035,0.006,0.066,0.0220,50,5000
w3_field_groups_50,w4_hybrid_w2_w3_50,coding_status|confidence,0.610,0.638,0.028,-0.001,0.058,0.0684,50,5000
w0_direct_50,w5_evidence_required,none,0.462,0.588,0.126,0.079,0.176,0.0000,50,5000
w0_direct_50,w5_evidence_required,coding_status|confidence,0.451,0.584,0.133,0.083,0.186,0.0000,50,5000
w0_direct_50,w7_retrieval_tables,none,0.462,0.576,0.114,0.060,0.171,0.0000,50,5000
w0_direct_50,w7_retrieval_tables,coding_status|confidence,0.451,0.568,0.117,0.058,0.178,0.0000,50,5000
w0_direct_50,w8_self_consistency,none,0.462,0.574,0.112,0.057,0.170,0.0000,50,5000
w0_direct_50,w8_self_consistency,coding_status|confidence,0.451,0.566,0.114,0.056,0.177,0.0000,50,5000
w4_hybrid_w2_w3_50,w9_multi_model_panel,none,0.637,0.644,0.007,-0.005,0.019,0.2896,50,5000
w4_hybrid_w2_w3_50,w9_multi_model_panel,coding_status|confidence,0.638,0.647,0.009,-0.004,0.022,0.2276,50,5000
w9_multi_model_panel,w11_cot_grouped,none,0.644,0.726,0.082,0.052,0.113,0.0000,50,5000
w9_multi_model_panel,w11_cot_grouped,coding_status|confidence,0.647,0.733,0.087,0.056,0.119,0.0000,50,5000
w4_hybrid_w2_w3_50,w10_guideline_fewshot_qwen3_coder,none,0.637,0.796,0.159,0.118,0.200,0.0000,50,5000
w4_hybrid_w2_w3_50,w10_guideline_fewshot_qwen3_coder,coding_status|confidence,0.638,0.813,0.176,0.129,0.221,0.0000,50,5000
w0_direct_50,w3_field_groups_50,none,0.462,0.602,0.140,0.088,0.193,0.0000,50,5000
w0_direct_50,w3_field_groups_50,coding_status|confidence,0.451,0.610,0.159,0.106,0.213,0.0000,50,5000
w3_field_groups_50,w10_guideline_fewshot_qwen3_coder,none,0.602,0.796,0.194,0.144,0.244,0.0000,50,5000
w3_field_groups_50,w10_guideline_fewshot_qwen3_coder,coding_status|confidence,0.610,0.813,0.203,0.152,0.254,0.0000,50,5000
w10_guideline_fewshot_qwen3_coder,w10_schema_v4_access,none,0.796,0.803,0.007,0.002,0.013,0.0140,50,5000
w10_guideline_fewshot_qwen3_coder,w10_schema_v4_access,coding_status|confidence,0.813,0.821,0.008,0.002,0.014,0.0140,50,5000
w10_schema_v4_access,w16_temporal_audit_qwen3_coder,none,0.803,0.803,0.000,0.000,0.000,1.0000,50,5000
w10_schema_v4_access,w16_temporal_audit_qwen3_coder,coding_status|confidence,0.821,0.821,0.000,0.000,0.000,1.0000,50,5000
